bucket,count_1966,share_1966_pct,source_1966,count_2026,share_2026_pct,source_2026,share_ratio_2026_to_1966
Professionals and managers,755214,15.55,"Group 0 (Total professional, technical and related workers, p.90, 450,575) + Group 1 (Total administrative, executive and managerial workers, p.92, 304,639)",5559500,38.44,"ANZSCO 1+2 (Managers + Professionals), less farm managers 1211-1214 and Defence Force codes 1392, 111212, 139111",2.47
Clerical and sales,1089015,22.42,"Group 2 (Total clerical workers, p.93, 713,548) + Group 3 (Total sales workers, p.93, 375,467)",2958000,20.45,ANZSCO 5+6 (Clerical and Administrative + Sales),0.91
Service workers,360978,7.43,"Group 9 (Total service, sport, and recreation workers, p.112)",1738800,12.02,"ANZSCO 4 (Community and Personal Service), less Defence Force Members 4411",1.62
"Trades, machinery, labourers",2049311,42.2,"Group 5 (Total miners, quarrymen, p.97, 31,864) + Group 6 (Total workers in transport and communication, p.99, 294,109) + Group 7/8 (Total craftsmen, production-process workers and labourers, p.110, 1,723,338)",3932800,27.19,"ANZSCO 3+7+8 (Tech and Trades + Machinery Operators + Labourers), less farm workers 8411-8419",0.64
Farmers and primary industry,469051,9.66,"Group 4 (Total farmers, fishermen, hunters, timber getters, p.96)",243400,1.68,ANZSCO 1211-1214 (Farmers) + 8411-8419 (Farm/Forestry/Garden Workers),0.17
Defence Force,57293,1.18,"Group 10 (Members of Armed Services, p.112)",30900,0.21,ANZSCO 1392 (Senior NCO Defence Officers) + 4411 (Other Ranks) + 111212 (Senior Officers) + 139111 (Commissioned Officers),0.18
Other (1966 only),75593,1.56,"Group 11 (Occupation inadequately described or not stated, p.112)",0,0.0,No 2026 equivalent: every employed person in ANZSCO is classified,0.0
